                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.9117,                0.83062,                 1.3392,                0.87543,                0.78874,                0.88562,                0.66525,                0.95312,                0.99119,                 1.3164,               0.006634,               0.006634,               0.006634
                     71,                 0.9169,                0.85393,                 1.3379,                0.86442,                0.80254,                 0.8862,                0.66452,                0.95248,                0.97434,                 1.3147,              0.0065845,              0.0065845,              0.0065845
                     72,                0.91779,                0.85404,                 1.3405,                0.85994,                0.81135,                  0.887,                0.66712,                0.95012,                0.95716,                 1.3134,               0.006535,               0.006535,               0.006535
                     73,                0.91047,                0.84494,                 1.3341,                0.86574,                0.81185,                0.88832,                0.66745,                0.95032,                0.93918,                 1.3144,              0.0064855,              0.0064855,              0.0064855
                     74,                0.91301,                0.83782,                 1.3341,                0.86524,                0.80875,                0.89016,                0.66867,                0.94886,                 0.9353,                 1.3139,               0.006436,               0.006436,               0.006436
                     75,                0.89918,                0.82541,                 1.3257,                0.85713,                0.81402,                 0.8901,                 0.6678,                0.94683,                0.95331,                 1.3141,              0.0063865,              0.0063865,              0.0063865
                     76,                0.91134,                0.84275,                 1.3328,                0.85217,                0.82336,                0.89176,                0.67028,                0.94697,                 0.9504,                 1.3134,               0.006337,               0.006337,               0.006337
                     77,                0.91747,                0.83242,                 1.3335,                0.85523,                0.82391,                0.89327,                0.67136,                0.94629,                0.94801,                 1.3123,              0.0062875,              0.0062875,              0.0062875
                     78,                0.89599,                0.81681,                 1.3228,                0.86037,                  0.817,                0.89438,                0.67183,                0.94406,                0.93989,                 1.3094,               0.006238,               0.006238,               0.006238
                     79,                0.90226,                0.81962,                 1.3274,                0.86803,                 0.8124,                0.89492,                0.67244,                0.94471,                0.94192,                   1.31,              0.0061885,              0.0061885,              0.0061885
                     80,                0.89922,                0.82468,                 1.3204,                0.87113,                0.81132,                0.89438,                0.67152,                0.94477,                 0.9462,                  1.309,               0.006139,               0.006139,               0.006139
                     81,                0.89733,                0.82684,                 1.3243,                0.87205,                0.80701,                 0.8928,                0.67201,                0.94488,                0.95311,                 1.3084,              0.0060895,              0.0060895,              0.0060895
                     82,                0.89076,                0.81025,                 1.3155,                0.86984,                0.81206,                0.89292,                0.67144,                0.94451,                0.94757,                 1.3079,                0.00604,                0.00604,                0.00604
                     83,                0.89495,                0.81309,                 1.3208,                0.86982,                0.81252,                0.89388,                0.67287,                0.94244,                0.94376,                 1.3066,              0.0059905,              0.0059905,              0.0059905
                     84,                0.88953,                0.81339,                 1.3159,                0.85122,                0.82606,                0.89351,                0.67338,                0.94109,                0.94474,                 1.3061,               0.005941,               0.005941,               0.005941
                     85,                0.89608,                0.81231,                 1.3227,                0.85578,                 0.8261,                0.89302,                0.67452,                 0.9406,                0.93939,                 1.3056,              0.0058915,              0.0058915,              0.0058915
                     86,                0.89256,                 0.8023,                 1.3153,                0.85568,                0.82694,                 0.8943,                0.67497,                 0.9399,                 0.9414,                 1.3053,               0.005842,               0.005842,               0.005842
                     87,                0.89037,                0.79839,                  1.314,                0.85377,                0.83159,                0.89505,                0.67489,                0.93985,                0.93389,                 1.3048,              0.0057925,              0.0057925,              0.0057925
                     88,                0.88217,                0.79815,                 1.3075,                0.85231,                0.83124,                0.89423,                0.67542,                0.93858,                0.93053,                  1.305,               0.005743,               0.005743,               0.005743
                     89,                0.89029,                0.79509,                 1.3124,                0.85626,                0.82677,                0.89416,                0.67671,                0.93762,                0.93328,                 1.3042,              0.0056935,              0.0056935,              0.0056935
                     90,                0.87485,                0.78309,                 1.2987,                0.85947,                0.82356,                0.89403,                0.67678,                0.93649,                0.93385,                 1.3029,               0.005644,               0.005644,               0.005644
                     91,                0.88331,                0.79108,                 1.3112,                0.86103,                0.82289,                0.89413,                0.67756,                0.93546,                0.93672,                 1.3018,              0.0055945,              0.0055945,              0.0055945
                     92,                  0.879,                0.78379,                 1.3043,                0.86071,                0.82266,                0.89466,                0.67832,                0.93479,                0.93942,                 1.3006,               0.005545,               0.005545,               0.005545
                     93,                0.88196,                0.79469,                 1.3091,                0.86497,                0.81631,                 0.8946,                0.67807,                0.93439,                 0.9392,                 1.3005,              0.0054955,              0.0054955,              0.0054955
                     94,                 0.8716,                0.78465,                 1.2986,                0.86324,                0.82284,                 0.8942,                0.67824,                0.93403,                0.94168,                 1.2998,               0.005446,               0.005446,               0.005446
                     95,                0.87171,                0.77422,                 1.2986,                 0.8634,                  0.823,                0.89455,                  0.679,                0.93393,                0.94174,                 1.2994,              0.0053965,              0.0053965,              0.0053965
                     96,                0.87632,                0.78593,                 1.3019,                0.86142,                0.82336,                 0.8945,                0.67951,                0.93401,                0.94155,                 1.2994,               0.005347,               0.005347,               0.005347
                     97,                0.87074,                0.77636,                 1.2999,                0.86729,                0.81997,                0.89488,                   0.68,                0.93369,                0.94147,                 1.2993,              0.0052975,              0.0052975,              0.0052975
                     98,                0.87133,                0.77199,                 1.2971,                0.86548,                0.82508,                0.89456,                0.67965,                0.93411,                 0.9407,                    1.3,               0.005248,               0.005248,               0.005248
                     99,                0.86352,                0.77456,                  1.294,                0.86609,                0.82188,                0.89478,                0.68033,                0.93352,                0.93987,                 1.2996,              0.0051985,              0.0051985,              0.0051985
                    100,                0.86602,                0.76694,                 1.2934,                0.86561,                0.82117,                0.89524,                 0.6807,                0.93322,                0.93874,                 1.2992,               0.005149,               0.005149,               0.005149
                    101,                0.87244,                0.77127,                 1.2983,                 0.8644,                0.81949,                0.89578,                0.68135,                0.93261,                0.94131,                 1.2987,              0.0050995,              0.0050995,              0.0050995
                    102,                0.86336,                 0.7697,                 1.2904,                0.86218,                0.82055,                0.89552,                0.68195,                0.93224,                0.94286,                 1.2985,                0.00505,                0.00505,                0.00505
                    103,                0.85863,                0.76666,                 1.2901,                0.86484,                0.82093,                 0.8959,                 0.6826,                0.93159,                0.94241,                  1.298,              0.0050005,              0.0050005,              0.0050005
                    104,                0.85401,                0.75315,                 1.2845,                0.86538,                0.82222,                0.89671,                0.68239,                0.93141,                0.94083,                 1.2979,               0.004951,               0.004951,               0.004951
                    105,                0.85524,                0.75219,                 1.2844,                0.86332,                0.82351,                0.89663,                0.68255,                0.93116,                0.93892,                 1.2975,              0.0049015,              0.0049015,              0.0049015
                    106,                0.85187,                0.75245,                 1.2831,                0.86413,                0.82467,                0.89663,                0.68298,                0.93093,                0.93771,                 1.2969,               0.004852,               0.004852,               0.004852
                    107,                0.84747,                0.74885,                  1.282,                0.86552,                0.82547,                0.89758,                0.68303,                0.93014,                0.93766,                 1.2961,              0.0048025,              0.0048025,              0.0048025
                    108,                  0.847,                0.74804,                 1.2818,                0.86607,                0.82571,                0.89795,                0.68345,                0.92984,                0.93889,                 1.2956,               0.004753,               0.004753,               0.004753
                    109,                0.85124,                0.75427,                 1.2783,                0.86398,                0.82394,                0.89755,                0.68372,                0.92982,                0.94081,                 1.2954,              0.0047035,              0.0047035,              0.0047035
