                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.72058,                0.58561,                 1.2071,                0.90216,                0.87909,                0.93564,                0.76167,                0.78368,                0.54828,                 1.2049,               0.006436,               0.006436,               0.006436
                     75,                  0.717,                0.57781,                 1.2052,                0.89281,                0.89212,                0.93585,                0.76275,                0.78124,                0.55207,                 1.2023,              0.0063865,              0.0063865,              0.0063865
                     76,                0.71932,                0.58291,                 1.2091,                0.88573,                0.89546,                0.93656,                0.76243,                0.78039,                0.55045,                 1.2009,               0.006337,               0.006337,               0.006337
                     77,                0.71779,                0.57565,                  1.199,                0.89201,                 0.8901,                  0.936,                 0.7628,                0.77899,                0.55065,                 1.1993,              0.0062875,              0.0062875,              0.0062875
                     78,                0.70078,                0.56321,                 1.1953,                0.88634,                0.89427,                 0.9364,                 0.7632,                0.77589,                0.54639,                 1.1975,               0.006238,               0.006238,               0.006238
                     79,                 0.7065,                 0.5592,                 1.1969,                   0.92,                0.86567,                0.93742,                0.76468,                0.77533,                0.54349,                 1.1972,              0.0061885,              0.0061885,              0.0061885
                     80,                0.70089,                0.55759,                 1.1904,                 0.9187,                0.86478,                0.93659,                0.76472,                0.77426,                0.54576,                 1.1975,               0.006139,               0.006139,               0.006139
                     81,                 0.6992,                 0.5585,                 1.1918,                0.91965,                0.86308,                 0.9356,                 0.7651,                0.77356,                0.54537,                  1.196,              0.0060895,              0.0060895,              0.0060895
                     82,                0.69212,                0.55087,                 1.1853,                0.90764,                0.87375,                0.93682,                0.76706,                0.76997,                0.53909,                 1.1936,                0.00604,                0.00604,                0.00604
                     83,                0.69087,                0.54846,                  1.183,                0.90905,                0.87226,                0.93659,                0.76824,                 0.7689,                0.54265,                 1.1927,              0.0059905,              0.0059905,              0.0059905
                     84,                0.68787,                0.54818,                 1.1801,                0.90834,                0.87356,                0.93625,                 0.7685,                 0.7677,                0.54265,                 1.1916,               0.005941,               0.005941,               0.005941
                     85,                0.68404,                0.54862,                 1.1813,                0.91049,                0.86971,                0.93566,                 0.7698,                0.76571,                0.54298,                 1.1906,              0.0058915,              0.0058915,              0.0058915
                     86,                0.68269,                0.53931,                 1.1773,                0.91157,                0.87078,                0.93679,                0.77036,                 0.7629,                0.54936,                 1.1887,               0.005842,               0.005842,               0.005842
